code,name
Alfalfa,Alfalfa
Almonds,Almonds
Beans Dry,Beans Dry
Berries,Berries
Corn,Corn
Cotton,Cotton
Cucurbits,Cucurbits
Field and Grain,Field and Grain
Grapes Table,Grapes Table
Grapes Wine,Grapes Wine
Lettuce,Lettuce
Onions and Garlic,Onions and Garlic
Orchards,Orchards
Pasture,Pasture
Pistachios,Pistachios
Potatoes,Potatoes
Rice,Rice
Safflower,Safflower
Subtropical,Subtropical
Sunflowers,Sunflowers
Tomatoes Fresh,Tomatoes Fresh
Tomatoes Processing,Tomatoes Processing
Truck,Truck
Walnuts,Walnuts