internal_id,eastern_prop,north_central_prop,north_coast_prop,south_central_prop,south_coast_prop,total_revenue,direct_value_add,total_value_add,direct_jobs,total_jobs
1,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
2,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
3,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
4,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
5,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
6,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
7,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
8,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
9,0,0,1,0,0,1.770724,0.670077008,1.218732221,9.22536E-06,1.16516E-05
10,0,0,0.139,0,0.861,1.711162262,0.669912909,1.119305136,2.54984E-05,3.02564E-05
11,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
12,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
13,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
14,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
15,0,0,0.079,0,0.921,1.707011618,0.669901473,1.112376419,2.66324E-05,3.15529E-05
16,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
17,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
18,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
19,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
20,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
21,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
22,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
23,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
24,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
25,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
26,0,0,0,0.01,0.99,1.701123201,0.670198958,1.103311427,2.79654E-05,3.31051E-05
27,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
28,0,0,0,0,1,1.701546604,0.669886417,1.103253609,2.81255E-05,3.326E-05
29,0,0,0,0.343,0.657,1.687023899,0.680606592,1.105236763,2.26343E-05,2.79493E-05
30,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
31,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
32,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
33,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
34,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
35,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
36,0.831,0.169,0,0,0,1.736371433,0.621941765,1.062383841,9.3157E-06,1.5262E-05
37-KID,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
37-RID,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
37-SVID,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
37-WIP,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
38-YTID,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
39-EW,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
39-KRD,0,0,0,1,0,1.659206357,0.701140572,1.109035398,1.21162E-05,1.7777E-05
40,0,0.142,0,0.858,0,1.63888063,0.701048996,1.095166664,1.18088E-05,1.73836E-05
41,0.338,0.662,0,0,0,1.605673632,0.668544745,1.032118279,9.6927E-06,1.51103E-05
42,0.029,0.971,0,0,0,1.523755538,0.697754321,1.013148587,9.92899E-06,1.50151E-05
43,0.923,0.077,0,0,0,1.760761287,0.613245063,1.068031775,9.24534E-06,1.52904E-05
44,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
45,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
46,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
47,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
48,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
49,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
50,0,1,0,0,0,1.516067432,0.700495673,1.01136826,9.95117E-06,1.50062E-05
51,0.144,0.856,0,0,0,1.554242855,0.686883443,1.020208505,9.84105E-06,1.50505E-05
52,0.667,0.333,0,0,0,1.692893869,0.637444582,1.052315784,9.44111E-06,1.52116E-05
53,0.86,0.14,0,0,0,1.744059539,0.619200413,1.064164168,9.29352E-06,1.5271E-05
54,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
55,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
56,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
57,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
58,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
59,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
60,0.756,0.244,0,0,0,1.716488401,0.629031468,1.057779547,9.37305E-06,1.5239E-05
61,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
62,1,0,0,0,0,1.781174534,0.605966301,1.072758851,9.18646E-06,1.53141E-05
